DEPT,GR,Res,CALI,RHOB
2218,48.777,20.506,7.964,2.37
2218.5,47.613,20.764,7.931,2.369
2219,47.29,21.383,7.946,2.388
2219.5,47.287,21.762,7.969,2.41
2220,47.884,22.041,7.928,2.435
2220.5,48.241,22.297,7.911,2.416
2221,49.278,22.314,7.91,2.402
2221.5,49.875,22.25,7.925,2.414
2222,50.151,21.882,7.924,2.446
2222.5,50.028,21.637,7.931,2.469
2223,49.264,21.171,7.922,2.46
2223.5,49.381,21.347,7.881,2.457
2224,49.017,21.625,7.928,2.464
2224.5,48.254,21.802,7.894,2.453
2225,47.091,21.98,7.81,2.432
2225.5,46.366,22.216,7.816,2.431
2226,46.564,22.314,7.919,2.418
2226.5,47.04,22.572,7.882,2.408
2227,47.517,22.688,7.789,2.429
2227.5,48.194,22.604,7.812,2.445
2228,48.27,22.661,7.779,2.425
2228.5,48.268,22.816,7.698,2.396
2229,48.704,22.813,7.781,2.407
2229.5,50.421,22.829,7.924,2.428
2230,51.218,23.207,7.887,2.419
2230.5,50.094,23.606,7.818,2.42
2231,49.731,24.005,7.965,2.389
2231.5,48.927,23.577,8.076,2.39
2232,48.644,22.466,7.883,2.436
2232.5,49.241,21.456,7.846,2.44
2233,51.718,20.552,7.833,2.45
2233.5,54.316,18.438,8.06,2.489
2234,56.033,18.24,8.075,2.531
2234.5,57.071,18.694,8.034,2.521
2235,58.308,19.068,7.989,2.495
2235.5,60.344,19.127,8.035,2.507
2236,61.822,19.206,8.022,2.54
2236.5,61.098,20.114,7.977,2.555
2237,57.213,21.022,8.048,2.455
2237.5,54.409,21.812,7.987,2.418
2238,48.843,21.337,7.774,2.411
2238.5,48.32,20.033,7.725,2.404
2239,47.236,18.353,7.828,2.398
2239.5,46.913,17.74,7.931,2.402
2240,47.429,17.483,7.894,2.407
2240.5,48.747,18.154,7.985,2.422
2241,51.505,18.806,7.952,2.439
2241.5,53.022,19.576,7.871,2.459
2242,52.778,20.425,7.802,2.466
2242.5,49.654,21.234,7.841,2.451
2243,45.369,25.283,7.972,2.442
2243.5,40.643,30.301,7.95,2.459
2244,37.519,49.522,7.961,2.481
2244.5,35.875,57.285,7.941,2.51
2245,35.391,58.253,7.912,2.537
2245.5,36.308,56.336,7.915,2.555
2246,39.026,34.052,7.966,2.541
2246.5,41.664,25.28,7.968,2.542
2247,46.942,14.276,7.955,2.551
2247.5,55.462,10.66,7.967,2.557
2248,64.023,7.933,8.025,2.562
2248.5,76.624,5.701,8.036,2.553
2249,91.586,5.7,7.999,2.534
2249.5,95.865,4.988,7.994,2.534
2250,98.903,4.336,8.009,2.541
2250.5,99.3,4.059,7.984,2.537
2251,98.576,3.999,7.983,2.53
2251.5,96.972,3.979,8.07,2.52
2252,95.769,4.354,8.077,2.54
2252.5,93.965,4.887,8.06,2.565
2253,92.241,5.518,7.979,2.51
2253.5,88.755,6.012,7.914,2.505
2254,78.988,7.039,7.837,2.492
2254.5,74.543,8.046,7.832,2.504
2255,70.018,9.448,7.898,2.498
2255.5,65.613,11.126,7.954,2.503
2256,60.207,12.311,7.981,2.506
